114,gitar ibanez jem fgm ,kondisigitar ibanez s series kondisibaru lokasijal mutiara no 10 bendung hilir jakarta pusat belakang sma 35 layan irim indonesia datang langsung k lokasi mangec fbmangec cajon lgmangec music nomer hp pin bb cantum bawah ya gan ,Rp 1200000
115,gitar listrik ibanez jem white inlay flower ,welcome to as_musicstore ready gitar listrik ibanez jem white free softcase real pict foto langsung barang yg ready ambil dr lapak sebe ya irim jakarta guna jasa gosend instagram as_musicstore happy shopping ,Rp 1250000
116,gitar ibanez jem flower bunga putih ,gitar ibanez jem flower harga 1 200 000 spesifikasi body mahogany neck maple pick up,Rp 100000000,canon eos 70d kit 18 55 is stm kamera slr canon eos 70 d kit is stm ,baru original 100 garansi 2 tahun bonus memory 16gb class 10 tas filter lensa anti gores lcd untuk jaga barang aman packing nya paka bubble wrap dus plastik anti air isi box ef s18 55mm f 3 5 5 6 is stm eos 70d body eyecup eb body cap battery charger lc e6e battery pack lp e6 interface cable wide strap ew eos70d features 20 2 gapixels aps c dual pixel cmos af sensor digic 5 image processor iso 100 12 800 expandable to 25 600 19 points cross type af system and 7fps shooting intelligent viewfinder 3 0 vari angle clear view lcd ii touch screen wifi ,Rp 11800000
1,canon eos 750d kit 18 55 is stm kamera slr canon eos 750 d ,garansi 1 tahun bonus memory 16gb product highlights 24 2mp aps c cmos sensor digic 6 image processor 3 0 1 04m dot vari angle touchscreen full hd 1080p video recording 19 point all cross type af system 5 fps shooting amp extended iso to 25600 hybrid cmos af ii amp eos scene analysis creative filters built in wi fi connectivity with nfc cs100 connect station suppor ,Rp 8450000
2,canon eos 700d kit 18 55 is free 18mp canon gital slr eos 700 d ,original garansi 1 satu tahun servis resmi canon free antigores tas 9 titik af tipe silang cepat otret sambung 5fps monitor lcd ii tampil jernih sudut variasi 18mp sensor cmos autofocus batera lp e8 mensi 133 1 x 99 8 x 78 8mm berat 755gr whats in the box eos 60d body ef s 18 135is lens eyecup eb not shown wide strap ew eos 60d usb interface cable ifc 130u stereo av cable avc dcbattery pack lp e6 battery charger lc e6 eos gital solution disc and instruction manuals great photography is easy booklet and do more with macro booklet tambah mmc 32gb tambah filter utk lensa harga fix ubah2 gantung amp bbm harap pm av pm tanya stok sblm atc pin bb cencenshop cod antar tempat tuju amp bayar ima barang surabaya fee 20rb ,Rp 6800000
3,canon eos 700d kit 18 55 is free 18mp canon gital slr ,original garansi 1 satu tahun free antigores tas 9 titik af tipe silang cepat otret sambung 5fps monitor lcd ii tampil jernih sudut variasi 18mp sensor cmos autofocus batera lp e8 mensi 133 1 x 99 8 x 78 8mm berat 755gr whats in the box eyecup eb not shown wide strap ew eos usb interface cable ifc 130u battery pack lp e6 battery charger lc e6 eos gital solution disc and instruction manuals great photography is easy booklet and do more with macro booklet ,Rp 6800000
4,canon eos 100d kit 18 55 is stm kamera slr canon ,garansi 1 tahun highlights 18 mp aps c cmos sensor digic 5 image processor 3 0 1 04m dot clear view ii touchscreen full hd 1080p video recording at 30 fps 9 point af and hybrid cmos af ii native iso 12800 extended to iso 25600 4 fps shooting for 28 jpeg 7 raw files 63 zone dual layer tering system scene intelligent auto mode ef s 18 55mm f 3 5 5 6 is stm lens ,Rp 5400000
5,canon eos 70d w kit ef s 18 200 is jm camera kamera dlsr slr resmi datasricp ori ,detail produk canon eos 70d w abadi momen tujuh frame detik abadi momen stills akjub film full hd kinerja tinggi eos 70d ampil 7fps embak resolusi penuh 19 point af system canggih teknolog dual pixel af cmos unik canon fitur 20 2mp aps c cmos sensor digic 5 image processor pixel af cmos ganda live view 3 0 1 040k dot vari angle touchscreen full hd 1080p video move servo af built in wireless connectivity 19 titik cross type af sistem tingkat continuous shooting 7 fps iso 100 12 800 upgrade iso 25600 intelligent scene auto mode ,Rp 18437000
6,canon eos 700dl gital slr camera 18mp hitam ,canon eos 700d awar angkat kamera dslr gital single lens reflex ilik kualitas foto baik agam fungsi auto focus mampu rekam video cukup handal kelas bekal kamera kekuat 18 mp hybrid cmos af sensor canon eos 700d hasil gambar noise rendah berkat image prosessor digic 5 canon eos 700d ingkat iso 12800 untung ambil gambar kondisi cahaya minim whats include charger battera buku pandu kartu garansi key features 9 titik sistem auto fokus tipe silang eos 700d lengkap fitur af asti cepat tepat sambung af otret jendela bidik eos 700d ingkat autofokus 9 titik sistem af tipe silang masuk titik tengah f 2 8 silang ganda tepat tinggi untuk fokus akurat baik kamera posisi potret lanskap iso 100 12800 tingkat 25600 mode h berkat prosesor gambar digic 5 eos 700d ilik rentang iso perluas sebesar iso 100 12800 tingkat 25600 mode h buat otret mungkin situasi cahaya redup blitz saring kreatif otret live view eos 700d ilik tujuh saring kreatif beda ubah suasana efek visual adeg saring kreatif masuk efek mata ikan efek kamera main hitam putih bintik fokus halus efek miniatur efek seni tebal efek cat air warranty brand warranty spare part 1 tahun what kind of spare part service brand warranty labor service 1 tahun ,Rp 9000000
7,kamera d slr canon 550d murah mulus mint no fog ,kamera d slr canon 550d lengkap fullset mulus murah 3 5jt kurang lensa autofocus manual bunyi fokus jadi masa gak paka nego bonus 2 filter uv 2 sd card 8gb tas canon lokasi surabaya utara ,Rp 3500000
8,slr canon eos 600d ,kondisi mulus 100 lengkap charger nego dikit cicil ,Rp 5000000
9,canon eos 70d kit 18 135 mm kamera slr 70d ,garansi 1 tahun highlights 20 2mp aps c cmos sensor digic 5 image processor 3 0 1 04m dot vari angle touchscreen full hd 1080p 30 video amp movie servo af dual pixel cmos af with live view 19 point all cross type phase detect af native iso 12800 extended to iso 25600 7 fps shooting at full resolution ef s 18 135mm f 3 5 5 6 is stm lens ,Rp 13800000
10,slr canon 1000d ,canon 1000d second 98 mulus lensa kit efs 18 55mm built in flash memory 4gb filter lensa strap charger box lengkap tas kamera akai jarang jarang beli awal ,Rp 3000000
11,canon 1100 d bo ,kamera canon 1100d lensa fix body muluss bro ngedoff deh fungsi 100 normal lengkap unit kamera carger ori batre ori no drop starp kardus isi isi eory 4 gb minat hubcod semarang kirim kirim oke ,Rp 3500000
12,kamera slr canon eos 600d ,jual cepat murah cod only cod only mcd buar jak tim kfc pangkal jati sekitar mall cipinang mm bekasi kl cod canon eos 600d ef s 18 135 is kit lengkap kamera canon eos 600d ef s 18 135 is kit kondisi msh mulus jrg paka pas pergi2 luar neger akai 4 tahun krg lbh lengkap 1 body amp lensa 2 batera 3 tas 4 charger 5 tutup lensa 7 kabel usb rp 6 000 000 nego manusia ,Rp 6000000
13,kamera slr cannon kiss gital x ,kamera bekas jual fitur fungsi charger bateray minat bonus lensa focal panjang ,Rp 1750000
14,kamera pro canon eos 1ds ,wts kamera profesional canon eos 1ds utama kualitas gambar detail kondisi fungsi normal ngga cacat baret wajar akibat akai baret kena tangan sm flash shoe akibat gese flash lengkap kamera charger ori 2 batre ori dua kondisi normal strap non ori body caps garansi ngga tau darimana anggap aja non ds jual seharga 9jt nego wajar bonus lensa manual canon fl 50mm f1 2 kondisi seada oprek eos hasil msh bagus mohon anya harga nett dll jelas bakal ngga jawab minat langsung aju tawar via telp brkl cocok timbang agung kurniaw lokasi jember jawa timurrek bcaan agung kurniaw untuk rekomendasi cek a rel nofollow noopener noreferrer target _blank href https www bukalapak com ap l http bursa fotografer net rekomendasi php id 80183 http bursa fotografer net rekomendasi php id 80183 a a rel nofollow noopener noreferrer target _blank href https www bukalapak com ap l http www facebook com agung96 http www facebook com agung96 a ,Rp 9000000
15,canon slr 600d ,kondisi camera jarang paka dus cd assesoris lengkap ,Rp 5000000
16,canon dslr 1100d ,barang komplit ,Rp 3200000
17,canon eos 70d kit 18 55 is stm kamera slr canon eos 70 d kit is stm ,baru original 100 garansi 2 tahun bonus memory 16gb class 10 tas filter lensa anti gores lcd untuk jaga barang aman packing nya paka bubble wrap dus plastik anti air isi box ef s18 55mm f 3 5 5 6 is stm eos 70d body eyecup eb body cap battery charger lc e6e battery pack lp e6 interface cable wide strap ew eos70d features 20 2 gapixels aps c dual pixel cmos af sensor digic 5 image processor iso 100 12 800 expandable to 25 600 19 points cross type af system and 7fps shooting intelligent viewfinder 3 0 vari angle clear view lcd ii touch screen wifi ,Rp 16780000
18,free canon eos 750d kit 18 55mm is
